nationality,region,age,gender,new_phrase,new_phrase_definition,new_phrase_sentence_example,model_names,model_a_response,model_a_likert,model_b_response,model_b_likert,model_c_response,model_c_likert
Argentina,Cordoba (Argentina),19.0,M,estar al horno,Estar en una situación muy complicada,Mañana tengo un examen y estoy al horno,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","“Estar al horno” significa estar sometido a un calor intenso y prolongado, generalmente para cocción o para sufrir una situación difícil y perjudicial.",1.0,**Estado de algo o alguien en proceso de cocción o exposición a altas temperaturas en un horno.**,1.0,Se refiere a encontrarse en una situación complicada o de riesgo.,5.0
Argentina,Cordoba (Argentina),19.0,M,Ni en pedo,De ninguna manera,Ni en pedo me subo a esa moto,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Expresión coloquial española que indica negación enfática o incredulidad, equivalente a ""en absoluto"" o ""jamás"".",5.0,"Expresión coloquial que significa **""ni siquiera en estado de ebriedad""** o **""ni en las peores circunstancias""**, para negar algo con énfasis absoluto.",5.0,"Expresión coloquial mexicana que indica negación absoluta; se usa para enfatizar que algo no ocurre o no existe, equivalente a “ni siquiera” o “de ninguna manera”.",5.0
Argentina,San Juan (Argentina),25.0,M,posta,la verdad absoluta,tiraste la posta el otro día cuando me dijiste de mi novia,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Posta es un término coloquial español que se utiliza para referirse a un encuentro sexual de forma informal y a menudo con connotaciones despectivas o vulgares.,1.0,"**Posta:** Lugar fijo donde se realiza vigilancia, control o descanso en rutas, caminos o fronteras, especialmente en contextos militares o de seguridad.",1.0,"La posta es un establecimiento público donde se reciben, clasifican y envían cartas, paquetes y correspondencia, y donde se pueden adquirir servicios postales.",1.0
Argentina,Mendoza (Argentina),25.0,F,cagarse de frío,tener mucho frío,el otro día me fui del casamiento de Julio porque me estaba cagando de frío,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","“Cagarse de frío” es una expresión coloquial que se refiere a tener diarrea o dificultad para controlar las deposiciones, causada por el frío extremo.",1.0,"**Definición:** Sentir un intenso escalofrío o temblor corporal por exposición a bajas temperaturas, generando incomodidad o malestar físico.",1.0,"Expresión coloquial que indica estar extremadamente frío, como si el cuerpo se congelara.",5.0
Argentina,Jujuy (Argentina),18.0,M,Churo,"algo es lindo, bueno o de calidad",Qué chura que está esa remera,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","“Churo” es una expresión coloquial argentina y uruguaya que se utiliza para referirse a un hombre joven, normalmente de clase baja, de forma despectiva o humorística.",1.0,"**Churo:** Trozo de material blando y flexible, generalmente de estopa, trapo o fibra sintética, usado para limpiar, absorber líquidos o como mecha en velas.",1.0,"Churo: palo de madera delgado y corto, usado como herramienta de trabajo o instrumento de medición, caracterizado por su longitud reducida y su función práctica.",1.0
Argentina,Jujuy (Argentina),18.0,M,Pingo,qué me importa,Qué pingo?,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","""Pingo"" es una expresión coloquial española que se utiliza para referirse a un pequeño grupo de personas que se reúnen informalmente y de manera espontánea.",1.0,"**Pingo**: Pequeña elevación redondeada en el terreno, formada por la acumulación de hielo y sedimentos en climas fríos, que emerge al derretirse el hielo subsuperficial.",1.0,pingo: término coloquial que se emplea para referirse al pene masculino.,1.0
Argentina,Buenos Aires (Argentina),22.0,F,bondi,colectivo o autobús,Me tomo el bondi y llego en 15,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Término lunfardo que designa al autobús de transporte público urbano.,5.0,Tipo de bono financiero utilizado en el mercado de valores argentino.,1.0,**Bondi:** Autobús urbano.,5.0
Argentina,Santa Fe (Argentina),26.0,M,pororo,"maíz pisingallo cocinado, pochoclo",Vamos al cine a comer pororo,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Baile típico del norte de Brasil.,1.0,Nombre que se le da a las palomitas de maíz en regiones como Santa Fe y el litoral argentino.,5.0,Instrumento de viento similar a una flauta.,1.0
Argentina,Tucuman (Argentina),30.0,F,ura,palabra vulgar usada como muletilla para referirse a una persona o situación,"Eh ura, qué hacés?","['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']","Término coloquial en Tucumán que refiere vulgarmente a la vulva, pero se usa cotidianamente como vocativo informal.",5.0,"Dícese de una persona que ahorra dinero de manera excesiva, tacaño.",1.0,Nombre de un río en Rusia.,1.0
Argentina,Cordoba (Argentina),21.0,X,cara de poio,persona que no entiende nada o se hace el distraído,Le explicás y te mira con cara de poio,"['gemma3-4b', 'ministral3-14b', 'gpt_oss-20b']",Expresión que denota tener el rostro manchado de comida.,1.0,**Cara de pollo:** Insulto que sugiere que alguien tiene rasgos físicos similares a un ave.,2.0,"Modismo cordobés que se refiere a alguien que pone expresión de no entender, de ingenuidad o desorientación (literalmente 'cara de pollo').",5.0
